"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1622","@US0102-01_Login failed","","2025-09-18","passed","2025-09-18","","User Authentication test","@US0102-01_Login failed",""
"","1556","@US0102-02_Login failed","","2025-09-18","passed","2025-09-18","","User Authentication test","@US0102-02_Login failed",""
"","6677","@US0101-01_Login success","","2025-09-18","passed","2025-09-18","","User Authentication test","@US0101-01_Login success",""
"","2621","@US0103-01_User Logout and return login page","","2025-09-18","passed","2025-09-18","","User Authentication test","@US0103-01_User Logout and return login page",""
